bacon_id,unixTS,isoTS,date,time,batteryVoltage,lightVoltage,thermistorVoltage,tsQuality
0x0400000000000002,1599770223.68,2020-09-10 16:37:03,2020-09-10,16:37:03,3.7451,0.8209,0.8075,1.0000
0x0400000000000002,1599770823.69,2020-09-10 16:47:03,2020-09-10,16:47:03,3.7366,0.8508,0.7788,1.0000
0x0400000000000002,1599771423.71,2020-09-10 16:57:03,2020-09-10,16:57:03,3.7402,0.7440,0.7770,1.0000
0x0400000000000002,1599772023.72,2020-09-10 17:07:03,2020-09-10,17:07:03,3.7402,0.7043,0.7745,1.0000
0x0400000000000002,1599772623.73,2020-09-10 17:17:03,2020-09-10,17:17:03,3.7390,0.6976,0.7764,1.0000
0x0400000000000002,1599773223.74,2020-09-10 17:27:03,2020-09-10,17:27:03,3.7415,0.7635,0.7794,1.0000
0x0400000000000002,1599773823.75,2020-09-10 17:37:03,2020-09-10,17:37:03,3.7378,0.7574,0.7764,1.0000
0x0400000000000002,1599774423.76,2020-09-10 17:47:03,2020-09-10,17:47:03,3.7280,0.6476,0.7739,1.0000
0x0400000000000002,1599775023.77,2020-09-10 17:57:03,2020-09-10,17:57:03,3.7402,0.5536,0.7770,1.0000
0x0400000000000002,1599775623.78,2020-09-10 18:07:03,2020-09-10,18:07:03,3.7378,0.6000,0.7788,1.0000
0x0400000000000002,1599776223.80,2020-09-10 18:17:03,2020-09-10,18:17:03,3.7317,0.5737,0.7751,1.0000
0x0400000000000002,1599776823.81,2020-09-10 18:27:03,2020-09-10,18:27:03,3.7415,0.5737,0.7739,1.0000
0x0400000000000002,1599777423.82,2020-09-10 18:37:03,2020-09-10,18:37:03,3.7231,0.5786,0.7770,1.0000
0x0400000000000002,1599778023.83,2020-09-10 18:47:03,2020-09-10,18:47:03,3.7378,0.5627,0.7800,1.0000
0x0400000000000002,1599778623.84,2020-09-10 18:57:03,2020-09-10,18:57:03,3.7427,0.5774,0.7764,1.0000
0x0400000000000002,1599779223.85,2020-09-10 19:07:03,2020-09-10,19:07:03,3.0493,0.5591,0.8411,1.0000
0x0400000000000002,1599779823.86,2020-09-10 19:17:03,2020-09-10,19:17:03,3.7427,0.5554,0.7764,1.0000
0x0400000000000002,1599780423.88,2020-09-10 19:27:03,2020-09-10,19:27:03,3.7402,0.5164,0.7776,1.0000
0x0400000000000002,1599781023.89,2020-09-10 19:37:03,2020-09-10,19:37:03,3.7378,0.5396,0.7806,1.0000
0x0400000000000002,1599781623.90,2020-09-10 19:47:03,2020-09-10,19:47:03,3.2751,0.5127,0.8569,1.0000
0x0400000000000002,1599782223.91,2020-09-10 19:57:03,2020-09-10,19:57:03,3.7451,0.5170,0.7837,1.0000
0x0400000000000002,1599782823.92,2020-09-10 20:07:03,2020-09-10,20:07:03,3.7354,0.5212,0.7843,1.0000
0x0400000000000002,1599783423.93,2020-09-10 20:17:03,2020-09-10,20:17:03,3.7476,0.5280,0.7855,1.0000
0x0400000000000002,1599784023.94,2020-09-10 20:27:03,2020-09-10,20:27:03,3.7427,0.5261,0.7861,1.0000
0x0400000000000002,1599784623.96,2020-09-10 20:37:03,2020-09-10,20:37:03,3.7354,0.5353,0.7867,1.0000
0x0400000000000002,1599785223.97,2020-09-10 20:47:03,2020-09-10,20:47:03,3.7415,0.5145,0.7867,1.0000
0x0400000000000002,1599785823.98,2020-09-10 20:57:03,2020-09-10,20:57:03,3.7488,0.5109,0.7867,1.0000
0x0400000000000002,1599786423.99,2020-09-10 21:07:03,2020-09-10,21:07:03,3.7329,0.5219,0.7874,1.0000
0x0400000000000002,1599787024.00,2020-09-10 21:17:04,2020-09-10,21:17:04,3.7463,0.5383,0.7886,1.0000
0x0400000000000002,1599787624.01,2020-09-10 21:27:04,2020-09-10,21:27:04,3.7402,0.5328,0.7874,1.0000
0x0400000000000002,1599788224.02,2020-09-10 21:37:04,2020-09-10,21:37:04,3.7463,0.5066,0.7886,1.0000
0x0400000000000002,1599788824.04,2020-09-10 21:47:04,2020-09-10,21:47:04,3.7427,0.5164,0.7886,1.0000
0x0400000000000002,1599789424.05,2020-09-10 21:57:04,2020-09-10,21:57:04,3.7439,0.5164,0.7886,1.0000
0x0400000000000002,1599790024.06,2020-09-10 22:07:04,2020-09-10,22:07:04,3.7463,0.5273,0.7880,1.0000
0x0400000000000002,1599790624.07,2020-09-10 22:17:04,2020-09-10,22:17:04,3.7463,0.5267,0.7880,1.0000
0x0400000000000002,1599791224.08,2020-09-10 22:27:04,2020-09-10,22:27:04,3.7476,0.5322,0.7880,1.0000
0x0400000000000002,1599791824.09,2020-09-10 22:37:04,2020-09-10,22:37:04,3.7354,0.5157,0.7880,1.0000
0x0400000000000002,1599792424.10,2020-09-10 22:47:04,2020-09-10,22:47:04,3.7488,0.5249,0.7892,1.0000
0x0400000000000002,1599793024.12,2020-09-10 22:57:04,2020-09-10,22:57:04,3.6902,0.5371,0.7892,1.0000
0x0400000000000002,1599793624.13,2020-09-10 23:07:04,2020-09-10,23:07:04,3.7451,0.5084,0.7880,1.0000
0x0400000000000002,1599794224.14,2020-09-10 23:17:04,2020-09-10,23:17:04,3.7122,0.5286,0.7886,1.0000
0x0400000000000002,1599794824.15,2020-09-10 23:27:04,2020-09-10,23:27:04,3.7451,0.5200,0.7892,1.0000
0x0400000000000002,1599795424.16,2020-09-10 23:37:04,2020-09-10,23:37:04,3.7463,0.5341,0.7886,1.0000
0x0400000000000002,1599796024.17,2020-09-10 23:47:04,2020-09-10,23:47:04,3.7488,0.5066,0.7892,1.0000
0x0400000000000002,1599796624.18,2020-09-10 23:57:04,2020-09-10,23:57:04,3.7439,0.5389,0.7880,1.0000
0x0400000000000002,1599797224.19,2020-09-11 00:07:04,2020-09-11,00:07:04,3.7500,0.5316,0.7886,1.0000
0x0400000000000002,1599797824.21,2020-09-11 00:17:04,2020-09-11,00:17:04,3.7451,0.5103,0.7892,1.0000
0x0400000000000002,1599798424.22,2020-09-11 00:27:04,2020-09-11,00:27:04,3.7488,0.5194,0.7880,1.0000
0x0400000000000002,1599799024.23,2020-09-11 00:37:04,2020-09-11,00:37:04,3.7451,0.5359,0.7880,1.0000
0x0400000000000002,1599799624.24,2020-09-11 00:47:04,2020-09-11,00:47:04,3.7476,0.5273,0.7880,1.0000
0x0400000000000002,1599800224.25,2020-09-11 00:57:04,2020-09-11,00:57:04,3.1226,0.5127,0.8612,1.0000
0x0400000000000002,1599800824.26,2020-09-11 01:07:04,2020-09-11,01:07:04,3.7488,0.5219,0.7874,1.0000
0x0400000000000002,1599801424.27,2020-09-11 01:17:04,2020-09-11,01:17:04,3.7476,0.4926,0.7880,1.0000
0x0400000000000002,1599802024.29,2020-09-11 01:27:04,2020-09-11,01:27:04,3.7451,0.5322,0.7880,1.0000
0x0400000000000002,1599802624.30,2020-09-11 01:37:04,2020-09-11,01:37:04,3.7378,0.5176,0.7886,1.0000
0x0400000000000002,1599803224.31,2020-09-11 01:47:04,2020-09-11,01:47:04,3.7415,0.5347,0.7880,1.0000
0x0400000000000002,1599803824.32,2020-09-11 01:57:04,2020-09-11,01:57:04,3.0481,0.5450,0.8563,1.0000
0x0400000000000002,1599804424.33,2020-09-11 02:07:04,2020-09-11,02:07:04,3.7390,0.2167,0.7880,1.0000
0x0400000000000002,1599805024.34,2020-09-11 02:17:04,2020-09-11,02:17:04,3.7024,0.2173,0.7880,1.0000
0x0400000000000002,1599805624.35,2020-09-11 02:27:04,2020-09-11,02:27:04,3.7476,0.2173,0.7880,1.0000
0x0400000000000002,1599806224.37,2020-09-11 02:37:04,2020-09-11,02:37:04,3.7463,0.2173,0.7880,1.0000
0x0400000000000002,1599806824.38,2020-09-11 02:47:04,2020-09-11,02:47:04,3.7439,0.2179,0.7886,1.0000
0x0400000000000002,1599807424.39,2020-09-11 02:57:04,2020-09-11,02:57:04,3.7488,0.2173,0.7867,1.0000
0x0400000000000002,1599808024.40,2020-09-11 03:07:04,2020-09-11,03:07:04,3.7488,0.2173,0.7861,1.0000
